행정구역,2020년11월_계_총인구수,2020년11월_계_연령구간인구수,2020년11월_계_0세,2020년11월_남_총인구수,2020년11월_남_연령구간인구수,2020년11월_남_0세,2020년11월_여_총인구수,2020년11월_여_연령구간인구수,2020년11월_여_0세
서울특별시 노원구 중계4동(1135062400),"20,748",51,51,"10,009",30,30,"10,739",21,21
서울특별시 노원구 중계2.3동(1135062500),"35,605",135,135,"16,434",66,66,"19,171",69,69
서울특별시 노원구 상계1동(1135063000),"39,165",128,128,"19,023",78,78,"20,142",50,50
서울특별시 노원구 상계2동(1135064000),"20,644",66,66,"10,216",29,29,"10,428",37,37
서울특별시 노원구 상계3.4동(1135066500),"27,161",93,93,"13,510",51,51,"13,651",42,42
서울특별시 노원구 상계5동(1135067000),"24,742",65,65,"12,032",40,40,"12,710",25,25
서울특별시 노원구 상계6.7동(1135069500),"33,645",173,173,"15,625",93,93,"18,020",80,80
서울특별시 노원구 상계8동(1135070000),"23,099",290,290,"11,106",144,144,"11,993",146,146
서울특별시 노원구 상계9동(1135071000),"21,273",112,112,"10,116",53,53,"11,157",59,59
서울특별시 노원구 상계10동(1135072000),"16,337",88,88,"7,512",43,43,"8,825",45,45
서울특별시 은평구 (1138000000),"480,617","2,088","2,088","230,763","1,058","1,058","249,854","1,030","1,030"
서울특별시 은평구 녹번동(1138051000),"37,430",227,227,"17,842",108,108,"19,588",119,119
서울특별시 은평구 불광제1동(1138052000),"39,772",174,174,"18,835",95,95,"20,937",79,79
서울특별시 은평구 불광제2동(1138053000),"28,506",99,99,"13,835",51,51,"14,671",48,48
서울특별시 은평구 갈현제1동(1138055100),"23,219",66,66,"11,338",39,39,"11,881",27,27
서울특별시 은평구 갈현제2동(1138055200),"28,945",97,97,"13,732",46,46,"15,213",51,51
서울특별시 은평구 구산동(1138056000),"32,840",96,96,"16,353",51,51,"16,487",45,45
서울특별시 은평구 대조동(1138057000),"27,280",82,82,"12,712",43,43,"14,568",39,39
서울특별시 은평구 응암제1동(1138058000),"30,901",188,188,"14,672",99,99,"16,229",89,89
서울특별시 은평구 응암제2동(1138059000),"27,590",273,273,"13,386",138,138,"14,204",135,135
서울특별시 은평구 응암제3동(1138060000),"25,276",80,80,"12,353",32,32,"12,923",48,48
서울특별시 은평구 역촌동(1138062500),"46,713",176,176,"22,069",84,84,"24,644",92,92
서울특별시 은평구 신사제1동(1138063100),"27,615",128,128,"13,336",60,60,"14,279",68,68
서울특별시 은평구 신사제2동(1138063200),"20,902",67,67,"10,432",36,36,"10,470",31,31
서울특별시 은평구 증산동(1138064000),"15,384",62,62,"7,503",31,31,"7,881",31,31
서울특별시 은평구 수색동(1138065000),"11,175",56,56,"5,539",31,31,"5,636",25,25
서울특별시 은평구 진관동(1138069000),"57,069",217,217,"26,826",114,114,"30,243",103,103
서울특별시 서대문구 (1141000000),"312,325","1,586","1,586","149,505",804,804,"162,820",782,782
서울특별시 서대문구 천연동(1141052000),"17,856",97,97,"8,459",50,50,"9,397",47,47
서울특별시 서대문구 북아현동(1141055500),"16,672",151,151,"7,967",86,86,"8,705",65,65
서울특별시 서대문구 충현동(1141056500),"20,699",94,94,"9,972",45,45,"10,727",49,49
서울특별시 서대문구 신촌동(1141058500),"19,232",130,130,"8,589",68,68,"10,643",62,62
서울특별시 서대문구 연희동(1141061500),"36,539",128,128,"17,600",66,66,"18,939",62,62
서울특별시 서대문구 홍제제1동(1141062000),"24,363",119,119,"11,446",55,55,"12,917",64,64
서울특별시 서대문구 홍제제3동(1141064000),"15,855",59,59,"7,682",22,22,"8,173",37,37
서울특별시 서대문구 홍제제2동(1141065500),"14,223",70,70,"6,767",36,36,"7,456",34,34
서울특별시 서대문구 홍은제1동(1141066000),"22,759",105,105,"10,994",50,50,"11,765",55,55
서울특별시 서대문구 홍은제2동(1141068500),"27,046",112,112,"13,066",66,66,"13,980",46,46
서울특별시 서대문구 남가좌제1동(1141069000),"15,918",118,118,"7,670",59,59,"8,248",59,59
서울특별시 서대문구 남가좌제2동(1141070000),"30,045",166,166,"14,509",89,89,"15,536",77,77
서울특별시 서대문구 북가좌제1동(1141071000),"18,492",110,110,"8,918",51,51,"9,574",59,59
서울특별시 서대문구 북가좌제2동(1141072000),"32,626",127,127,"15,866",61,61,"16,760",66,66
서울특별시 마포구 (1144000000),"372,320","1,983","1,983","175,423","1,037","1,037","196,897",946,946
서울특별시 마포구 아현동(1144055500),"25,628",254,254,"11,990",131,131,"13,638",123,123
서울특별시 마포구 공덕동(1144056500),"38,256",200,200,"18,064",111,111,"20,192",89,89
서울특별시 마포구 도화동(1144058500),"21,794",134,134,"10,450",77,77,"11,344",57,57
서울특별시 마포구 용강동(1144059000),"21,776",143,143,"10,260",69,69,"11,516",74,74
서울특별시 마포구 대흥동(1144060000),"14,400",55,55,"6,947",27,27,"7,453",28,28
서울특별시 마포구 염리동(1144061000),"12,081",53,53,"5,822",22,22,"6,259",31,31
서울특별시 마포구 신수동(1144063000),"23,250",147,147,"11,331",80,80,"11,919",67,67
서울특별시 마포구 서강동(1144065500),"24,753",128,128,"11,791",68,68,"12,962",60,60
서울특별시 마포구 서교동(1144066000),"25,237",69,69,"11,529",31,31,"13,708",38,38
서울특별시 마포구 합정동(1144068000),"18,237",198,198,"8,496",101,101,"9,741",97,97
서울특별시 마포구 망원제1동(1144069000),"20,817",76,76,"9,785",41,41,"11,032",35,35
서울특별시 마포구 망원제2동(1144070000),"19,073",81,81,"8,992",46,46,"10,081",35,35
서울특별시 마포구 연남동(1144071000),"15,637",56,56,"7,372",28,28,"8,265",28,28
서울특별시 마포구 성산제1동(1144072000),"19,421",72,72,"9,125",33,33,"10,296",39,39
서울특별시 마포구 성산제2동(1144073000),"40,447",187,187,"18,414",103,103,"22,033",84,84
서울특별시 마포구 상암동(1144074000),"31,513",130,130,"15,055",69,69,"16,458",61,61
서울특별시 양천구 (1147000000),"455,058","1,820","1,820","223,217",951,951,"231,841",869,869
서울특별시 양천구 목1동(1147051000),"31,573",98,98,"15,159",44,44,"16,414",54,54
서울특별시 양천구 목2동(1147052000),"30,495",139,139,"14,826",69,69,"15,669",70,70
서울특별시 양천구 목3동(1147053000),"22,480",150,150,"10,744",82,82,"11,736",68,68
서울특별시 양천구 목4동(1147054000),"25,972",72,72,"12,697",38,38,"13,275",34,34
서울특별시 양천구 목5동(1147055000),"42,257",92,92,"20,911",49,49,"21,346",43,43
서울특별시 양천구 신월1동(1147056000),"20,948",74,74,"10,744",43,43,"10,204",31,31
서울특별시 양천구 신월2동(1147057000),"21,378",104,104,"10,480",56,56,"10,898",48,48
서울특별시 양천구 신월3동(1147058000),"15,826",65,65,"8,343",33,33,"7,483",32,32
서울특별시 양천구 신월4동(1147059000),"18,450",90,90,"9,059",32,32,"9,391",58,58
서울특별시 양천구 신월5동(1147060000),"15,104",86,86,"7,482",47,47,"7,622",39,39
서울특별시 양천구 신월6동(1147061000),"13,665",108,108,"6,725",56,56,"6,940",52,52
서울특별시 양천구 신월7동(1147061100),"20,616",70,70,"10,126",40,40,"10,490",30,30
서울특별시 양천구 신정1동(1147062000),"20,981",62,62,"10,234",32,32,"10,747",30,30
서울특별시 양천구 신정2동(1147063000),"20,147",31,31,"9,875",24,24,"10,272",7,7
서울특별시 양천구 신정3동(1147064000),"46,573",248,248,"22,706",127,127,"23,867",121,121
서울특별시 양천구 신정4동(1147065000),"33,623",127,127,"16,479",66,66,"17,144",61,61
서울특별시 양천구 신정6동(1147067000),"25,009",79,79,"12,150",41,41,"12,859",38,38
